,ID,NAME,ISO,Year,COORDS,BASIN,SUBBASIN,NATURE,ISO_TIME,TOTAL_HRS,DAY_HRS,NIGHT_HRS,USA_SSHS,PRES_CALC_mean,STORM_SPD_mean,STORM_DR_mean,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,Total damage ('000$),CPI,"Air transport, freight (million ton-km)",Arable land (hectares per person),Cereal yield (kg per hectare),Food production index (2004-2006 = 100),GDP growth (annual %),GDP per capita (constant 2010 US$),Net flows from UN agencies US$,"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),Population density (people per sq. km of land area),Adjusted savings: education expenditure (% of GNI),Rural population (% of total population),Income_level_Final,Total Affected,pop_max_34,pop_max_50,pop_max_64,Numeric
11,12,CLEO,HTI,1964,"[[18.12, -73.87]]",NAm,NAm,TS,['1964-08-24 21:00:00'],0,0,0,4,961.0,15.0,293.0,145.2,9363761.0,20133618479.0,5096286.0,9160848399.0,2117798.0,4177158306.0,10000.0,12.13211749,,0.215432791,1056.6,68.34,-1.64735737,928.8394955,0.0,43.413999999999994,0.0,151.5833454,1.2844421999999998,82.83200000000002,Low_Middle,80000,9843221.0,1074516.5,385684.0625,332.0
12,13,IRIS,VNM,1964,"[[13.63, 109.08], [13.65, 108.66], [13.66, 108.28], [13.5, 108.15], [13.5, 107.8]]",WP,WP,TS,"['1964-11-04 06:00:00', '1964-11-04 09:00:00', '1964-11-04 12:00:00', '1964-11-04 15:00:00', '1964-11-04 18:00:00']",12,10,2,-1,1000.3,6.6,262.2,84.3,8197178.0,62722208793.0,2449448.0,16299431036.0,0.0,0.0,50000.0,12.13211749,,0.150897231,1909.8,22.54,,377.50828110000003,0.0,61.581,0.0,112.9988602,2.3,83.936,Low,700000,22259392.0,2619434.75,1120947.375,704.0
13,14,DINAH,JPN,1965,"[[33.5, 131.55], [34.63, 132.78], [36.68, 136.88], [36.89, 138.06], [37.2, 139.0], [37.42, 140.79]]",WP,WP,MX,"['1965-06-20 00:00:00', '1965-06-20 03:00:00', '1965-06-20 12:00:00', '1965-06-20 15:00:00', '1965-06-20 18:00:00', '1965-06-20 21:00:00']",21,12,9,-1,1003.333333,25.33333333,65.5,85.6,12784832.0,1790000000000.0,673323.0,118000000000.0,0.0,0.0,,12.32443267,,0.055398805,4398.2,78.85,5.819707873,12595.38937,0.0,70.20195122,0.0,269.65639489999995,2.8678781000000004,32.134,Low,30000,113094800.0,6919551.5,1589896.75,392.0
14,15,DINAH,TWN,1965,"[[22.98, 121.0], [23.62, 120.96], [24.49, 121.06]]",WP,WP,TS,"['1965-06-18 15:00:00', '1965-06-18 18:00:00', '1965-06-18 21:00:00']",6,5,1,0,987.4166667000003,15.33333333,122.6666667,135.3,23150365.0,4800000000000.0,18592060.0,3800000000000.0,406563.0,167000000000.0,,12.32443267,,0.142131057,1746.5,17.39,16.95,187.7568793,0.0,49.549,0.0,76.17873406,1.6102769,81.914,Low_Middle,89,20181648.0,7228423.5,338550.375,158.0
15,16,MARY,TWN,1965,"[[24.55, 121.72], [24.61, 121.43], [24.69, 121.19]]",WP,WP,TS,"['1965-08-18 18:00:00', '1965-08-18 21:00:00', '1965-08-19 00:00:00']",6,0,6,1,961.1666667000003,5.666666667,285.0,107.3,18151876.0,3860000000000.0,12873707.0,2560000000000.0,566068.0,161000000000.0,,12.32443267,,0.142131057,1746.5,17.39,16.95,187.7568793,0.0,49.549,0.0,76.17873406,1.6102769,81.914,Low_Middle,77,20160362.0,7856623.0,1709735.0,158.0
16,17,SHIRLEY,JPN,1965,"[[33.79, 134.24], [35.3, 135.18], [43.21, 140.69], [44.66, 142.27]]",WP,WP,TS,"['1965-09-10 00:00:00', '1965-09-10 03:00:00', '1965-09-10 18:00:00', '1965-09-10 21:00:00']",21,12,9,0,960.125,34.75,32.5,144.0,52796702.0,6510000000000.0,32698264.0,3830000000000.0,15012087.0,1570000000000.0,,12.32443267,,0.055398805,4398.2,78.85,5.819707873,12595.38937,0.0,70.20195122,0.0,269.65639489999995,2.8678781000000004,32.134,Low,730,59327392.0,2166732.75,318758.9375,392.0
17,18,JUDY,TWN,1966,"[[22.79, 120.57], [22.89, 121.2]]",WP,WP,TS,"['1966-05-30 12:00:00', '1966-05-30 15:00:00']",3,3,0,0,993.0,12.0,78.0,63.9,8281419.0,1830000000000.0,0.0,0.0,0.0,0.0,17322.0,12.69602817,,0.137612184,1879.1,18.42,10.65,202.0421811,0.0,51.69600000000001,0.0,78.3319575,1.6102769,82.085,Low_Middle,5021,20181648.0,3347583.25,957289.875,158.0
18,19,INEZ,CUB,1966,"[[20.01, -75.86], [20.2, -76.3], [20.36, -76.69], [20.5, -77.1], [20.8, -78.1], [21.9, -79.8], [22.27, -80.0], [22.6, -80.1], [22.83, -80.14]]",NAm,NAm,TS,"['1966-09-30 15:00:00', '1966-09-30 18:00:00', '1966-09-30 21:00:00', '1966-10-01 00:00:00', '1966-10-01 06:00:00', '1966-10-01 18:00:00', '1966-10-01 21:00:00', '1966-10-02 00:00:00', '1966-10-02 03:00:00']",12,0,12,1,992.4444444,8.0,274.6666667,115.4,10646928.0,92975313138.0,5856553.0,51952696514.0,1147384.0,7821562338.0,18000.0,12.69602817,,0.191116072,1178.6,83.29,,2249.749109,0.0,67.57300000000001,0.0,75.56319367,6.4452017999999995,40.477,Low_Middle,174030,11044710.0,3672081.25,2006602.25,192.0
19,20,INEZ,DOM,1966,"[[17.76, -71.59]]",NAm,NAm,TS,['1966-09-29 15:00:00'],0,0,0,3,965.0,15.0,294.0,136.5,8348241.0,149000000000.0,881699.0,23043600048.0,106310.0,3966135117.0,5000.0,12.69602817,,0.192509818,2196.3,45.52,13.46334483,1407.61346,0.0,55.635,0.0,82.7943697,2.5,63.927,Low_Middle,12942,10349401.0,61884.234375,9543.6806640625,214.0
20,21,INEZ,MEX,1966,"[[22.8, -97.8], [22.61, -98.15], [22.4, -98.5], [22.24, -98.85], [22.1, -99.2], [21.95, -99.55], [21.8, -99.9], [21.65, -100.25]]",NAm,NAm,TS,"['1966-10-10 12:00:00', '1966-10-10 15:00:00', '1966-10-10 18:00:00', '1966-10-10 21:00:00', '1966-10-11 00:00:00', '1966-10-11 03:00:00', '1966-10-11 06:00:00', '1966-10-11 09:00:00']",21,0,21,-1,961.0,7.125,243.5,114.1,6921051.0,109000000000.0,2400799.0,32244735788.0,232077.0,4055898296.0,24000.0,12.69602817,,0.417840727,1290.0,32.98,6.096139303999999,4898.341186,0.0,59.806999999999995,0.0,23.41610484,3.0032392000000003,44.239,Low,90069,37385040.0,1397658.75,470782.34375,484.0
21,22,ANGELA,SLB,1966,"[[-8.6, 161.03], [-8.97, 160.89], [-9.57, 160.63]]",SP,SP,TS,"['1966-11-13 23:00:00', '1966-11-14 02:00:00', '1966-11-14 06:00:00']",7,0,7,-1,998.0,8.333333332999999,202.6666667,46.0,,,,,,,,12.69602817,,0.070926513,2210.1,32.04,,1298.609031,0.0,52.961999999999996,0.0,5.037191854,4.1,92.421,Low_Middle,1000,,,,
22,23,BILLIE,JPN,1967,"[[34.0, 130.9], [34.69, 132.99], [35.15, 135.1], [35.48, 136.54], [35.9, 138.2]]",WP,WP,ET,"['1967-07-09 06:00:00', '1967-07-09 09:00:00', '1967-07-09 12:00:00', '1967-07-09 15:00:00', '1967-07-09 18:00:00']",12,10,2,-1,1001.7,33.4,70.2,55.5,44551.0,4982047655.0,0.0,0.0,0.0,0.0,,13.04806211,,0.053382973,5136.6,86.62,11.08214232,15196.610180000001,0.0,71.27658537,0.0,274.6795746,2.8678781000000004,30.484,High,3005,112820016.0,10519492.0,2159303.75,392.0
23,24,BEULAH,USA,1967,"[[25.9, -97.2], [26.14, -97.45], [26.4, -97.7], [26.86, -97.91], [27.3, -98.1], [27.57, -98.26], [27.7, -98.4], [27.77, -98.53], [27.7, -98.7], [27.49, -98.95], [27.2, -99.2], [26.93, -99.37], [26.7, -99.5]]",NAm,NAm,TS,"['1967-09-20 12:00:00', '1967-09-20 15:00:00', '1967-09-20 18:00:00', '1967-09-20 21:00:00', '1967-09-21 00:00:00', '1967-09-21 03:00:00', '1967-09-21 06:00:00', '1967-09-21 09:00:00', '1967-09-21 12:00:00', '1967-09-21 15:00:00', '1967-09-21 18:00:00', '1967-09-21 21:00:00', '1967-09-22 00:00:00']",12,0,12,0,923.0,6.153846154,280.2307692,135.7,3156586.0,654000000000.0,1643385.0,310000000000.0,641522.0,101000000000.0,200000.0,13.04806211,,0.878089899,3161.2,53.68,2.5,22220.19895,0.0,70.56097561,0.0,21.69591307,7.4547239,27.388,High,30000,5534589.5,1439478.0,399079.0625,840.0
24,25,GEORGETTE,MDG,1968,"[[-13.4, 49.82], [-13.38, 49.41], [-13.39, 48.97], [-24.92, 44.16], [-25.01, 44.35], [-25.08, 44.52], [-25.12, 44.72], [-25.16, 44.92], [-25.19, 45.06], [-25.32, 45.26]]",SI,SI,MX,"['1968-01-15 09:00:00', '1968-01-15 12:00:00', '1968-01-15 15:00:00', '1968-01-28 12:00:00', '1968-01-28 15:00:00', '1968-01-28 18:00:00', '1968-01-28 21:00:00', '1968-01-29 00:00:00', '1968-01-29 03:00:00', '1968-01-29 06:00:00']",21,0,21,-1,970.0,5.5,161.1,89.09,,,,,,,3100.0,13.60544609,,0.325609335,1686.2,56.39,6.8287860989999976,824.6208062999997,1620000.005,43.79600000000001,0.0,10.72061251,2.8,86.59,Low_Middle,75000,7065562.5,1106429.875,503927.21875,450.0
25,26,BECKY,SLB,1968,"[[-9.28, 161.28], [-9.42, 161.16], [-9.92, 160.84]]",SP,SP,TS,"['1968-12-11 03:00:00', '1968-12-11 06:00:00', '1968-12-11 15:00:00']",12,7,5,-1,994.6666667000003,3.333333333,214.3333333,90.0,,,,,,,,13.60544609,,0.066719598,2341.0,31.25,,1298.609031,509999.9905,54.583999999999996,0.0,5.3548052880000006,4.1,91.708,Low_Middle,200,,,,
26,27,DANY,MDG,1969,"[[-20.1, 48.58], [-20.13, 48.19], [-20.2, 47.79], [-20.31, 47.38], [-20.42, 47.0], [-20.47, 46.68], [-20.51, 46.4], [-20.59, 46.11], [-20.68, 45.84], [-20.74, 45.59], [-20.78, 45.31], [-20.83, 44.98], [-20.84, 44.62], [-20.77, 44.27]]",SI,SI,TS,"['1969-02-04 06:00:00', '1969-02-04 09:00:00', '1969-02-04 12:00:00', '1969-02-04 15:00:00', '1969-02-04 18:00:00', '1969-02-04 21:00:00', '1969-02-05 00:00:00', '1969-02-05 03:00:00', '1969-02-05 06:00:00', '1969-02-05 09:00:00', '1969-02-05 12:00:00', '1969-02-05 15:00:00', '1969-02-05 18:00:00', '1969-02-05 21:00:00']",15,12,3,-1,960.0,6.357142857,261.4285714,80.99,,,,,,,5000.0,14.34862782,,0.320216385,1770.3,58.68,3.721222168,832.9343918999997,2029999.95433,44.283,0.0,11.00856519,2.8,86.249,Low_Middle,43040,14301345.0,1595393.625,697763.4375,450.0
27,28,FRANCELIA,GTM,1969,"[[16.1, -89.2], [16.14, -89.44]]",NAm,CS,TS,"['1969-09-04 06:00:00', '1969-09-04 09:00:00']",3,1,2,0,973.0,5.0,279.5,89.2,3696931.0,28600572179.0,493252.0,3643302348.0,0.0,0.0,15000.0,14.34862782,,0.201262023,1046.9,24.98,4.736909015,1820.35089,749999.9850999998,51.888999999999996,0.0,51.00328481,1.7,64.768,Low_Middle,10200,12764838.0,234797.609375,33823.90625,320.0
28,29,JANE,MDG,1970,"[[-20.46, 48.38], [-20.72, 48.02], [-20.94, 47.8], [-21.16, 47.62], [-21.38, 47.41], [-21.58, 47.13], [-21.77, 46.77], [-22.03, 46.34], [-22.33, 45.87], [-22.7, 45.67], [-23.09, 45.43], [-23.5, 45.2], [-23.9, 44.96], [-24.31, 44.72], [-24.71, 44.44], [-25.1, 44.3]]",SI,SI,TS,"['1970-02-23 03:00:00', '1970-02-23 06:00:00', '1970-02-23 09:00:00', '1970-02-23 12:00:00', '1970-02-23 15:00:00', '1970-02-23 18:00:00', '1970-02-23 21:00:00', '1970-02-24 00:00:00', '1970-02-24 03:00:00', '1970-02-24 06:00:00', '1970-02-24 09:00:00', '1970-02-24 12:00:00', '1970-02-24 15:00:00', '1970-02-24 18:00:00', '1970-02-24 21:00:00', '1970-02-25 00:00:00']",21,0,21,-1,,8.1875,207.125,124.19,,,,,,,11400.0,15.18633546,6.900000095,0.313245812,1857.8,59.86,5.276455575,853.6314612,2929999.9028,44.771,0.0,11.30843106,2.8,85.9,Low_Middle,10000,16647355.0,4502799.0,2318576.5,450.0
29,32,FRAN,CHN,1970,"[[25.04, 118.9], [25.11, 118.55], [25.14, 118.19], [25.06, 117.78], [24.95, 117.5], [24.76, 117.46], [24.55, 117.4], [24.41, 117.07], [24.3, 116.65], [24.19, 116.31], [24.1, 116.0], [24.01, 115.74], [24.0, 115.5], [24.09, 115.25], [24.3, 115.0], [24.61, 114.73], [25.0, 114.55], [25.43, 114.53], [25.9, 114.6], [26.38, 114.64], [26.8, 114.7], [27.09, 114.78], [27.33, 114.84], [27.57, 114.88], [27.76, 114.9], [27.82, 114.96], [28.0, 115.0], [28.12, 115.01]]",WP,WP,TS,"['1970-09-07 18:00:00', '1970-09-07 21:00:00', '1970-09-08 00:00:00', '1970-09-08 03:00:00', '1970-09-08 06:00:00', '1970-09-08 09:00:00', '1970-09-08 12:00:00', '1970-09-08 15:00:00', '1970-09-08 18:00:00', '1970-09-08 21:00:00', '1970-09-09 00:00:00', '1970-09-09 03:00:00', '1970-09-09 06:00:00', '1970-09-09 09:00:00', '1970-09-09 12:00:00', '1970-09-09 15:00:00', '1970-09-09 18:00:00', '1970-09-09 21:00:00', '1970-09-10 00:00:00', '1970-09-10 03:00:00', '1970-09-10 06:00:00', '1970-09-10 09:00:00', '1970-09-10 12:00:00', '1970-09-10 15:00:00', '1970-09-10 18:00:00', '1970-09-10 21:00:00', '1970-09-11 00:00:00', '1970-09-11 03:00:00']",9,0,9,-1,1000.160714,5.821428571,166.71428569999995,52.9,17759323.0,352000000000.0,0.0,0.0,0.0,0.0,,15.18633546,,0.121322474,2127.7,19.68,19.3,228.9056399,0.0,59.085,0.0,87.16374191,1.6102769,82.6,Low_Middle,14000,207746976.0,30571506.0,13414626.0,156.0
30,33,GEORGIA,PHL,1970,"[[16.36, 121.38], [16.68, 120.76]]",WP,WP,TS,"['1970-09-11 03:00:00', '1970-09-11 06:00:00']",3,0,3,2,939.0,13.0,297.5,152.4,45155148.0,370000000000.0,6208814.0,72424545577.0,2057152.0,28234880147.0,2353.0,15.18633546,21.70000076,0.130433833,1350.3,34.36,3.764604859,1257.036642,4660000.0564,63.155,0.0,120.0415543,2.757732,67.021,Low_Middle,145200,50442336.0,2957643.75,509929.25,608.0
31,34,PATSY,PHL,1970,"[[14.61, 121.51], [14.56, 120.62]]",WP,WP,TS,"['1970-11-19 03:00:00', '1970-11-19 06:00:00']",3,0,3,2,945.0,17.0,267.5,138.2,47135727.0,421000000000.0,32852674.0,269000000000.0,18280574.0,130000000000.0,97656.0,15.18633546,21.70000076,0.130433833,1350.3,34.36,3.764604859,1257.036642,4660000.0564,63.155,0.0,120.0415543,2.757732,67.021,Low_Middle,432075,49935308.0,23674370.0,759479.75,608.0
32,35,ELAINE,PHL,1971,"[[12.29, 125.3], [12.73, 124.14], [12.9, 123.57], [13.14, 120.9], [13.35, 120.34]]",WP,WP,TS,"['1971-10-03 09:00:00', '1971-10-03 15:00:00', '1971-10-03 18:00:00', '1971-10-04 06:00:00', '1971-10-04 09:00:00']",0,0,0,0,989.55,12.4,289.2,63.4,44678077.0,387000000000.0,0.0,0.0,0.0,0.0,,15.83825463,31.60000038,0.126025535,1272.2,35.81,5.428631369,1287.65485,7110000.0144,63.19,0.0,123.54883319999999,2.8,66.507,Low_Middle,12000,58080684.0,3429080.5,1271473.875,608.0
33,36,EUGENIE,MDG,1972,"[[-18.82, 48.72], [-18.82, 47.93], [-18.85, 47.07], [-18.92, 46.2], [-19.0, 45.37], [-19.14, 44.55]]",SI,SI,TS,"['1972-02-14 09:00:00', '1972-02-14 12:00:00', '1972-02-14 15:00:00', '1972-02-14 18:00:00', '1972-02-14 21:00:00', '1972-02-15 00:00:00']",15,0,15,-1,1002.0,16.0,265.0,64.79,,,,,,,12420.0,16.35652475,7.699999808999999,0.300865745,1797.6,60.93,-1.272621531,829.1912235,2739999.9502,45.735,0.0,11.94521443,3.0,85.036,Low_Middle,2510056,13281031.0,5038185.0,505130.40625,450.0
34,37,ORA,PHL,1972,"[[13.28, 123.44], [14.56, 121.09], [15.06, 120.32]]",WP,WP,TS,"['1972-06-24 18:00:00', '1972-06-25 03:00:00', '1972-06-25 06:00:00']",12,0,12,0,982.0833332999997,17.66666667,300.3333333,100.5,54881884.0,502000000000.0,31132088.0,270000000000.0,118953.0,1074964503.0,15000.0,16.35652475,36.90000153,0.123934049,1163.9,35.26,5.446791104,1319.3477380000004,6160000.205,63.202,0.0,127.14878290000001,2.2056231,65.988,Low_Middle,385000,58828532.0,34632960.0,19781864.0,608.0
35,38,BEBE,FJI,1972,"[[-17.78, 178.05], [-18.1, 178.3]]",SP,SP,TS,"['1972-10-24 03:00:00', '1972-10-24 06:00:00']",3,0,3,-1,963.5,8.5,145.5,110.69,,,,,,,22500.0,16.35652475,,0.12895049,1938.1,64.96,7.485276672,2432.077462,989999.9797799999,62.555,0.0,29.71231527,4.0058147,64.462,Low_Middle,120000,,,,
36,39,RUTH,PHL,1973,"[[15.68, 121.25], [15.82, 120.4]]",WP,WP,TS,"['1973-10-15 15:00:00', '1973-10-15 18:00:00']",3,3,0,0,975.5,16.0,279.0,112.1,40269202.0,359000000000.0,8410657.0,96257891630.0,99495.0,2577161832.0,5000.0,17.36698602,46.79999924,0.12172381300000001,1186.0,37.01,8.920646822,1396.5569449999994,6819999.813999997,63.196999999999996,0.0,130.8478926,2.2056231,65.467,Low_Middle,45000,52161336.0,5997086.5,2157060.5,608.0
37,40,VERA,PHL,1973,"[[11.49, 125.22], [11.53, 124.4], [11.37, 123.0], [11.38, 122.77], [11.39, 122.54], [11.39, 122.3]]",WP,WP,TS,"['1973-11-19 21:00:00', '1973-11-20 03:00:00', '1973-11-20 18:00:00', '1973-11-20 21:00:00', '1973-11-21 00:00:00', '1973-11-21 03:00:00']",6,0,6,-1,997.5833332999997,6.0,271.6666667,48.0,3418687.0,32916370331.0,0.0,0.0,0.0,0.0,,17.36698602,46.79999924,0.12172381300000001,1186.0,37.01,8.920646822,1396.5569449999994,6819999.813999997,63.196999999999996,0.0,130.8478926,2.2056231,65.467,Low_Middle,3400024,28092572.0,3806718.0,1671096.625,608.0
38,41,ALMA,TTO,1974,"[[10.25, -61.71]]",NAm,NAm,TS,['1974-08-14 15:00:00'],0,0,0,0,1007.0,25.0,272.0,75.8,1356527.0,17032686924.0,692501.0,7921772146.0,0.0,0.0,5000.0,19.28687447,17.89999962,0.070246354,2960.0,106.47,3.807604009,6127.630009,1040000.0177600001,65.368,0.0,194.24814809999998,3.0297539,53.246,Low,50000,1286384.75,737904.5625,122879.9296875,780.0
39,42,TRACY,AUS,1974,"[[-11.4, 130.17], [-11.48, 130.07], [-12.39, 130.84], [-12.4, 130.88], [-12.46, 131.11], [-12.5, 131.33], [-12.51, 131.37], [-12.6, 131.6], [-12.62, 131.65], [-12.8, 132.0], [-12.99, 132.35], [-13.2, 132.7], [-13.4, 133.05], [-13.6, 133.4], [-13.8, 133.75]]",NAm,NAm,NR,"['1974-12-23 06:00:00', '1974-12-23 09:00:00', '1974-12-24 17:30:00', '1974-12-24 18:00:00', '1974-12-24 21:00:00', '1974-12-24 23:30:00', '1974-12-25 00:00:00', '1974-12-25 02:30:00', '1974-12-25 03:00:00', '1974-12-25 06:00:00', '1974-12-25 09:00:00', '1974-12-25 12:00:00', '1974-12-25 15:00:00', '1974-12-25 18:00:00', '1974-12-25 21:00:00']",15,12,3,-1,980.4444444,6.133333333,129.53333329999998,110.69,,,,,,,800000.0,19.28687447,315.2999878,3.069372586,1393.6,53.46,4.103552215,27483.68695,0.0,72.23609756,0.0,1.786313995,4.981227400000001,15.364,High,45640,,,,
