Year;Country Code;Country Name;Air transport, freight (million ton-km);Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP growth (annual %);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Mobile cellular subscriptions (per 100 people);Population density (people per sq. km of land area);Adjusted savings: education expenditure (% of GNI);Rural population (% of total population)
1974;ARE;United Arab Emirates;2.200000048;0.019253355;1166.7;7.81;16.52685651;103604.9068;540000.0084;64.525;0.20003331;6.581962827;;20.2
1975;ARE;United Arab Emirates;4;0.020061973;1166.7;7.61;16.52685651;103604.9068;460000.0121;65.244;0.20003331;7.720374542;;20.2
1976;ARE;United Arab Emirates;6.800000191;0.017243487;1166.7;7.03;16.52685651;103766.654;489999.9984;65.916;0.20003331;8.98228668;;20.097
1977;ARE;United Arab Emirates;8.199999809;0.016318893;1166.7;8.42;21.43933017;109318.6357;780000.0087;66.545;0.20003331;10.35404112;;19.894
1978;ARE;United Arab Emirates;9.600000382;0.01436252;1466.7;10.96;-1.58960332;94683.67932;1050000.008;67.137;0.20003331;11.76440439;;19.691
1979;ARE;United Arab Emirates;14;0.012879005;2242.9;12.33;20.92357308;102668.6318;1560000.058;67.692;0.20003331;13.11952971;;19.49
1980;ARE;United Arab Emirates;26.20000076;0.015693829;2409.6;14.13;23.87477491;116232.753;2389999.978;68.213;0.20003331;14.35523796;;19.29
1981;ARE;United Arab Emirates;21.39999962;0.017326123;2018.7;15.41;4.659176674;113095.3373;2429999.922;68.701;0.20003331;15.44086173;;19.317
1982;ARE;United Arab Emirates;21.60000038;0.015453217;2000;19.08;-6.719316186;99319.61427;2280000.009;69.158;0.20003331;16.40109828;;19.534
1983;ARE;United Arab Emirates;23.79999924;0.018722644;1417.8;22.12;-4.7458207;89704.03867;2029999.999;69.585;0.290119573;17.29736694;;19.753
1984;ARE;United Arab Emirates;30.70000076;0.018547556;1613.4;21.14;4.01695128;88583.37854;899999.9948;69.986;0.381461408;18.21981132;;19.974
1985;ARE;United Arab Emirates;32.59999847;0.01903139;1340.2;21.27;-3.594476517;80886.46644;1220000.017;70.363;0.580018212;19.23632779;;20.196
1986;ARE;United Arab Emirates;48.59999847;0.020050056;1185.7;20.6;-14.95813656;64972.4226;1419999.976;70.717;0.773724747;20.36581245;;20.376
1987;ARE;United Arab Emirates;68.09999847;0.018910544;1106.3;19.9;3.381981709;63352.29403;1479999.997;71.049;0.894077478;21.59301605;;20.518
1988;ARE;United Arab Emirates;96.19999695;0.017823493;808.3;24.67;-2.618907704;58146.79648;1390000.034;71.361;0.849566029;22.90996902;;20.661
1989;ARE;United Arab Emirates;117.8000031;0.01680496;1924.7;29.03;12.33789128;61588.08673;1419999.942;71.657;1.44557424;24.29852154;;20.804
1990;ARE;United Arab Emirates;145.1000061;0.019142085;2216.5;30.49;18.32798553;68780.58855;719999.9951;71.939;1.836436903;25.74531118;;20.949
1991;ARE;United Arab Emirates;184.3999939;0.018067752;3494.1;37.94;0.860081946;65478.70692;130000.0027;72.208;2.220165366;27.27616164;;21.094
1992;ARE;United Arab Emirates;267;0.018510481;4368.3;47.59;3.344944862;63853.89076;570000.0041;72.466;2.382932167;28.90581526;;21.24
1993;ARE;United Arab Emirates;365.3999939;0.018406554;4164.7;51.2;1.261190951;61081.3716;390000.0155;72.715;3.248112523;30.59897212;;21.386
1994;ARE;United Arab Emirates;465.8999939;0.018305559;6414.5;55.17;6.896148551;61843.21371;1040000.022;72.957;3.987473767;32.30618136;;21.533
1995;ARE;United Arab Emirates;557.2000122;0.017804719;6474;65.9;6.687886464;62681.60907;350000.0015;73.194;5.340090845;34.00577302;;21.681
1996;ARE;United Arab Emirates;651.2999878;0.01811647;6502.1;72.74;5.798404061;63076.60646;89999.99985;73.428;7.633886621;35.75226697;;21.507
1997;ARE;United Arab Emirates;809.4000244;0.01684534;15894;89.92;8.190398641;64864.72032;580000.0131;73.657;11.58109609;37.61422135;;21.062
1998;ARE;United Arab Emirates;902;0.012796751;17746.3;94.43;0.291994349;61773.86736;-10000.00352;73.883;17.53432195;39.6115742;;20.622
1999;ARE;United Arab Emirates;1129.699951;0.014497474;17165.8;144.31;2.902213645;60291.50899;399999.991;74.106;28.05992784;41.76336243;;20.19
2000;ARE;United Arab Emirates;1456.349;0.019144484;17504.7;174;10.85270421;63251.52299;530000.0031;74.327;45.56754142;44.12928752;;19.764
2001;ARE;United Arab Emirates;1631.164;0.021497439;17476.9;105.01;1.39908503;60861.266;-89999.9961;74.544;57.8100347;46.50406928;;19.345
2002;ARE;United Arab Emirates;2079.338;0.021559301;18064.6;102.55;2.43345681;59187.20693;79999.99445;74.758;69.79668429;48.98306111;;18.933
2003;ARE;United Arab Emirates;2772.739;0.017241695;20927.8;92.07;8.800540815;60351.14005;-59999.9874;74.968;80.07503909;52.26600957;;18.528
2004;ARE;United Arab Emirates;3733.658;0.015484556;20373.6;102.29;9.566436637;60328.32053;9999.999776;75.174;90.52608165;57.28766545;;18.129
2005;ARE;United Arab Emirates;4641.933;0.014820546;20215.2;105.26;4.855141196;56092.92022;0;75.376;98.8212871;64.60468882;;17.738
2006;ARE;United Arab Emirates;5735.78;0.009546856;20900.8;92.45;9.837319773;53335.03157;0;75.573;104.134185;74.62931569;;17.352
2007;ARE;United Arab Emirates;6538.02;0.007229886;21428.6;92.47;3.184390174;47283.90328;0;75.767;125.3316751;86.86057449;;16.977
2008;ARE;United Arab Emirates;9289.48;0.007278383;22265.9;103.07;3.191836276;42456.79589;0;75.957;131.9945294;99.82381019;;16.613
2009;ARE;United Arab Emirates;8959.601;0.006302597;22581.9;101.17;-5.242921907;36024.05823;0;76.145;134.7906603;111.4808786;;16.258
2010;ARE;United Arab Emirates;9774.150415;0.005918137;17871.4;110.01;1.602809961;33893.30351;0;76.332;127.7898753;120.388454;;15.913
2011;ARE;United Arab Emirates;10434.84919;0.005040921;22276.8;64.26;6.930271629;34634.86214;0;76.521;131.0796167;125.9754576;;15.577
2012;ARE;United Arab Emirates;12032.54363;0.004058372;11528.5;64.57;4.484626085;35416.89178;0;76.711;150.6876042;128.7186145;;15.251
2013;ARE;United Arab Emirates;14082.25474;0.004077013;15805.3;66.66;5.053345825;36978.83304;0;76.903;174.6434462;129.511546;;14.934
2014;ARE;United Arab Emirates;15527.19287;0.004775251;12542.9;83.01;4.284303689;38495.04635;0;77.095;182.5342367;129.740566;;14.625
2015;ARE;United Arab Emirates;15962.692;0.004760928;26761.7;98.59;5.105936984;40247.74714;0;77.285;193.7034838;130.4266404;;14.326
2016;ARE;United Arab Emirates;16138.874;0.004753776;28130.1;102.28;3.060964305;41045.11112;0;77.47;212.6389865;131.8076598;;14.035
2017;ARE;United Arab Emirates;16616.24461;0.004662246;23576.3;88.65921014;0.490860761;40697.81806;0;77.647;208.9785999;133.5849479;;13.752
2018;ARE;United Arab Emirates;15962.90443;0.004746065;24758.59738;97.08802991;1.726349343;40782.44362;0;77.36730222;208.5048332;135.6091101;;13.478
2019;ARE;United Arab Emirates;;0.004756386;25717.34076;100.6457144;2.253987467;40734.86059;0;77.50733855;207.7401027;132.728413;;13.90881951
1960;AUS;Australia;;2.879423829;1083.9;36.64;2.485789429;19378.37079;0;70.81707317;0;1.364565299;4.9812274;18.471
1961;AUS;Australia;;2.879423829;1083.9;36.64;2.485789429;19468.81782;0;70.97317073;0;1.364565299;4.9812274;18.059
1962;AUS;Australia;;2.988549618;1217.3;41.52;1.295906081;19245.62026;0;70.94243902;0;1.398279161;4.9812274;17.772
1963;AUS;Australia;;3.016803653;1285.2;43.22;6.214617911;20053.36379;0;70.91170732;0;1.425354386;4.9812274;17.489
1964;AUS;Australia;;3.168263634;1323.7;46.13;6.978533508;21035.91831;0;70.88097561;0;1.453601135;4.9812274;17.208
1965;AUS;Australia;;3.246048472;983.5;44.42;5.983562611;21861.95759;0;70.8502439;0;1.482368561;4.9812274;16.932
1966;AUS;Australia;;3.400051498;1441.6;48.85;2.382546092;21877.57741;0;70.8195122;0;1.516603101;4.9812274;16.66
1967;AUS;Australia;;3.498432071;830.8;44.34;6.302517211;22964.70014;0;70.86926829;0;1.535868164;4.9812274;16.493
1968;AUS;Australia;;3.44658173;1338.7;51.05;5.095880782;23712.90872;0;70.91902439;0;1.563203728;4.9812274;16.328
1969;AUS;Australia;;3.384163745;1114.9;48.25;7.044232418;24857.54409;0;70.96878049;0;1.596266743;4.9812274;16.164
1970;AUS;Australia;234.6999969;3.327256736;1217.6;50.67;7.172207036;26120.64947;0;71.01853659;0;1.628028065;4.9812274;16.001
1971;AUS;Australia;230.6999969;3.177707351;1269.6;53.3;4.003723519;26263.48967;0;71.06829268;0;1.684000885;4.9812274;15.84
1972;AUS;Australia;220.1999969;3.082340442;933.1;54.77;3.912656294;26794.02202;0;71.45756098;0;1.715241529;4.9812274;15.68
1973;AUS;Australia;266.6000061;3.00568012;1318.5;58.83;2.613393888;27077.1153;0;71.84682927;0;1.741665907;4.9812274;15.522
1974;AUS;Australia;315.2999878;3.069372586;1393.6;53.46;4.103552215;27483.68695;0;72.23609756;0;1.786313995;4.9812274;15.364
1975;AUS;Australia;326.5;3.039372346;1414;58.04;1.349972817;27513.86851;0;72.62536585;0;1.808442784;4.9812274;15.208
1976;AUS;Australia;354.2000122;2.998361006;1345.5;61.82;2.587639201;27944.23363;0;73.01463415;0;1.826666493;4.9812274;15.053
1977;AUS;Australia;376.1000061;2.895081736;987.5;61.02;3.597509748;28625.19424;0;73.34439024;0;1.84736342;4.9812274;14.9
1978;AUS;Australia;459.8999939;2.961275944;1680.2;70;0.896784694;28547.98254;0;73.67414634;0;1.868971532;5.1;14.748
1979;AUS;Australia;528.2999878;3.026870608;1510.2;66.94;4.04350392;29383.07357;0;74.00390244;0;1.889277951;5;14.597
1980;AUS;Australia;516.5;2.996937109;1052.3;59.15;3.034068216;29907.78635;0;74.33365854;0;1.912448095;5;14.448
1981;AUS;Australia;556.4000244;2.881623903;1401.5;63.12;3.33795895;30419.53253;0;74.66341463;0;1.943037892;5;14.3
1982;AUS;Australia;576;3.05534326;875.6;57.57;3.32840049;30912.22222;0;74.90487805;0;1.975710399;5;14.33
1983;AUS;Australia;624.9000244;2.916064806;1646.2;68.41;-2.220458135;29850.19433;0;75.14634146;0;2.000572745;5;14.359
1984;AUS;Australia;734.0999756;3.02882141;1609.3;65.01;4.581269491;30866.25182;0;75.38780488;0;2.023352381;5.1;14.389
1985;AUS;Australia;814.7999878;2.992130981;1453.1;64.69;5.249240905;32045.31602;0;75.62926829;0;2.051208622;5;14.418
1986;AUS;Australia;859.2999878;2.922451681;1521.9;66.3;4.037247244;32797.09464;0;75.87073171;0;2.085104721;4.9;14.448
1987;AUS;Australia;990.7999878;2.886208105;1436;65.19;2.553285416;33126.79271;0;76.15170732;0.027330866;2.117061297;4.7;14.478
1988;AUS;Australia;1027.099976;2.842936814;1629.4;67.81;5.740728599;34460.03653;0;76.43268293;0.192204655;2.151985733;4.6;14.507
1989;AUS;Australia;1125.300049;2.836854125;1676.4;67.02;3.864709554;35191.11444;0;76.71365854;0.56556816;2.188719524;4.5;14.537
1990;AUS;Australia;1222.300049;2.806898289;1716.1;69.98;3.570617421;35912.20924;0;76.99463415;1.090427418;2.22135298;4.4;14.567
1991;AUS;Australia;1222.599976;2.644063874;1603.4;69.26;-0.397231659;35316.53701;0;77.27560976;1.695589799;2.249847051;4.4;14.597
1992;AUS;Australia;1361.5;2.69791369;1896.6;74.63;0.412529109;35034.53266;0;77.37804878;2.855965172;2.277312784;4.5;14.715
1993;AUS;Australia;1525.800049;2.62070527;1979.5;78.22;4.029408669;36091.38898;0;77.87804878;3.919740752;2.299701912;5.2;14.843
1994;AUS;Australia;1645.5;2.649117894;1266.7;73.42;3.982695245;37133.6484;0;77.87804878;6.854499043;2.32417375;5.2;14.972
1995;AUS;Australia;1737.5;2.218736166;1871;80.79;3.836059118;38095.12953;0;77.82926829;12.46035002;2.352420499;4.88583797;15.102
1996;AUS;Australia;1833.699951;1.98154115;2129.5;89.38;3.878618462;39056.18102;0;78.07804878;21.93600108;2.383530974;5.2;15.233
1997;AUS;Australia;1953.800049;2.153210563;1953.8;89.86;3.966496644;40153.61225;0;78.4804878;24.897736;2.41034586;4.867495;15.364
1998;AUS;Australia;1904.400024;2.354497354;1986.3;94.82;4.576693783;41555.94435;0;78.63170732;26.45932342;2.435598714;4.74634;15.497
1999;AUS;Australia;1693;2.405685301;2111;100.95;5.073585258;43168.29246;0;78.93170732;33.61154717;2.463585124;4.78817;15.63
2000;AUS;Australia;1730.735;2.469795854;1962.3;99.32;3.933097026;44334.39293;0;79.23414634;45.08349055;2.493133567;4.83;15.765
2001;AUS;Australia;1678.089;2.565651883;1959.6;100.93;1.930882544;44585.19852;0;79.63414634;57.99526035;2.526977598;4.844;15.9
2002;AUS;Australia;1544.717;2.432345787;2197.5;103.3;4.001377032;45806.69447;0;79.93658537;65.30467336;2.558009971;4.858;15.778
2003;AUS;Australia;1355.351;2.364365632;1020.7;84.24;2.985940486;46595.90092;0;80.23902439;73.10883938;2.589771292;4.872;15.657
2004;AUS;Australia;1898.071;2.372040105;2116.4;100.3;4.055551874;47926.74866;0;80.4902439;82.89884796;2.619970582;4.886;15.537
2005;AUS;Australia;2444.586;2.422284112;1694.6;98.03;3.204160122;48813.88776;0;80.84146341;91.28509793;2.654777866;4.9;15.418
2006;AUS;Australia;2569.506;2.305306335;2111.7;101.67;2.794583316;49443.22553;0;81.04146341;96.26672665;2.694232196;4.79;15.3
2007;AUS;Australia;2348.084;2.119303232;981.3;86.21;3.844309553;51024.24113;0;81.29268293;101.6430022;2.711115161;4.66;15.178
2008;AUS;Australia;2212.439;2.069677917;1332.7;90.6;3.657912651;51841.27303;0;81.39512195;103.6926101;2.765994559;4.6;15.057
2009;AUS;Australia;2769.286;2.10292416;1651.4;98.33;1.93692177;51767.37784;0;81.54390244;102.0649721;2.823594496;4.8;14.937
2010;AUS;Australia;2938.314378;1.932120689;1661.5;96.01;2.067465677;52022.1256;0;81.69512195;101.558682;2.867858584;5.08;14.818
2011;AUS;Australia;2846.598798;2.134196454;2097.5;102.35;2.462786173;52567.77724;0;81.89512195;105.5506209;2.90798641;4.85;14.7
2012;AUS;Australia;2731.69798;2.072407352;2231.6;108.39;3.918161772;53682.04722;0;82.04634146;106.2611564;2.95920037;5.05;14.598
2013;AUS;Australia;1984.693734;1.998389061;1936.1;108.59;2.584875111;54129.93905;0;82.14878049;107.2461548;3.010573526;4.945023954;14.498
2014;AUS;Australia;1925.772009;2.000239737;2137.9;109.14;2.533115447;54679.42018;0;82.3;106.2025331;3.055814795;4.840047908;14.398
2015;AUS;Australia;1907.051909;1.936765606;2027.4;109.72;2.192640028;55079.89212;0;82.4;107.6778349;3.100112596;5.025693972;14.299
2016;AUS;Australia;1868.732628;1.903525155;2075.2;105.58;2.770656693;55728.68446;0;82.44878049;109.4312952;3.144935531;5.025693972;14.2
2017;AUS;Australia;1982.586171;1.965725408;2674.2;108.7920162;2.367617253;56095.18632;0;82.49756098;111.7080516;3.198361419;5.025693972;14.096
2018;AUS;Australia;2027.63711;1.933944054;2142.942715;107.8960803;2.940333582;56842.30551;0;82.41269975;113.5787106;3.249129487;4.999734359;13.988
2019;AUS;Australia;;1.915547456;2316.977354;106.7793391;2.567793146;55902.89196;0;82.45847075;110.507096;3.170363295;5.021870958;14.15127973
1960;BGD;Bangladesh;;0.174321402;1681.1;37.35;6.058160825;372.0316957;0;45.379;0;379.2182761;0.5425099;94.865
1961;BGD;Bangladesh;;0.174321402;1681.1;37.35;6.058160825;383.7843585;0;45.97;0;379.2182761;0.5425099;94.722
1962;BGD;Bangladesh;;0.169391815;1514;35.62;5.45303097;393.6334506;0;46.557;0;389.8913498;0.5425099;94.502
1963;BGD;Bangladesh;;0.164840405;1749.4;40.53;-0.45589429;380.9560287;0;47.126;0;401.0294768;0.5425099;94.273
1964;BGD;Bangladesh;;0.160768964;1691.8;40.81;10.95278855;410.5714472;0;47.649;0;412.8579243;0.5425099;94.036
1965;BGD;Bangladesh;;0.15847219;1670;41.08;1.606258229;404.7880594;0;48.05;0;425.4829223;0.5425099;93.789
1966;BGD;Bangladesh;;0.153925142;1570.8;39.32;2.566812001;402.3029277;0;48.236;0;439.1000538;0.5425099;93.533
1967;BGD;Bangladesh;;0.149794402;1681.5;44.55;-1.87586392;382.2076642;0;48.176;0;453.5165476;0.5425099;93.267
1968;BGD;Bangladesh;;0.144931452;1727.9;45.6;9.489454015;405.5336077;0;47.888;0;467.9915034;0.5425099;92.991
1969;BGD;Bangladesh;;0.140555728;1724.7;47.48;1.220857909;398.9499167;0;47.432;0;481.5223554;0.5425099;92.704
1970;BGD;Bangladesh;;0.137578367;1666.2;45.19;5.619852293;411.1843628;0;46.942;0;493.4507337;0.5425099;92.407
1971;BGD;Bangladesh;;0.134850905;1583.1;41.94;-5.479483027;380.9486089;0;46.589;0;503.4311516;0.5425099;92.099
1972;BGD;Bangladesh;;0.137079225;1554.5;41.14;-13.9737287;322.3344057;16329999.8;46.507;0;511.8360989;0.5425099;91.779
1973;BGD;Bangladesh;1.200000048;0.134999016;1785.2;45.57;3.325680199;328.0718859;10130000.25;46.773;0;519.6092033;0.5425099;91.447
1974;BGD;Bangladesh;2.700000048;0.132829552;1708.4;44.08;9.5919563;353.7625035;13119999.89;47.396;0;528.0958208;0.9;90.966
1975;BGD;Bangladesh;5.300000191;0.130504963;1831.6;48.77;-4.088214092;332.8880625;31420001.03;48.313;0;538.2676577;0.8;90.164
1976;BGD;Bangladesh;9.300000191;0.127532398;1769;46.57;5.661361201;343.948157;35099999.84;49.402;0;550.4523392;0.5;89.299
1977;BGD;Bangladesh;17;0.124292874;1923.7;49.74;2.67305605;344.4355662;59489999.54;50.498;0;564.3664746;0.6;88.37
1978;BGD;Bangladesh;15.10000038;0.120940969;1926.9;51.52;7.073837733;359.0906051;74599999.66;51.473;0;579.6268879;0.6448609;87.371
1979;BGD;Bangladesh;19;0.117607537;1870.9;51.1;4.801634601;366.2411113;79890002.25;52.277;0;595.5984098;0.7;86.299
1980;BGD;Bangladesh;19.60000038;0.114528607;2005.8;52.07;0.819141869;359.4562576;66070000.12;52.9;0;611.8114082;0.7;85.149
1981;BGD;Bangladesh;19.79999924;0.111401209;1937.5;51.76;7.233943695;375.4274321;79409999.07;53.376;0;628.1594453;0.7;84.199
1982;BGD;Bangladesh;19.89999962;0.108468596;1997.9;53.82;2.134327836;373.5513482;85050000.07;53.794;0;644.7885611;0.7;83.788
1983;BGD;Bangladesh;20.60000038;0.105511223;2205.6;55.06;3.8810464;378.0919289;83979999.6;54.225;0;661.7691864;0.8;83.369
1984;BGD;Bangladesh;53.09999847;0.1038833;2134.6;55.38;4.803310015;386.0614432;123509996.9;54.693;0;679.2388492;0.9;82.94
1985;BGD;Bangladesh;68.80000305;0.100832726;2148.5;57.3;3.342014654;388.6442738;91560001.4;55.21;0;697.274203;0.9;82.504
1986;BGD;Bangladesh;70.80000305;0.098307068;2146.6;57.99;4.173382559;394.3350689;116080000.2;55.772;0;715.8915495;1.1;82.059
1987;BGD;Bangladesh;83.19999695;0.096528564;2202.1;58.09;3.772401853;398.5881267;142519999.2;56.359;0;734.9709073;1.1;81.605
1988;BGD;Bangladesh;76.5;0.097131628;2235.8;59.01;2.416256856;397.7619117;119130000;56.958;0;754.2932319;1.1;81.141
1989;BGD;Bangladesh;84.09999847;0.094870181;2500.3;64.84;2.836582129;398.8521103;134289996.3;57.571;0;773.5691557;1.2;80.67
1990;BGD;Bangladesh;69.5;0.091652813;2490.6;65.58;5.622258162;411.1646112;138589997.4;58.21;0;792.5939617;1.2;80.189
1991;BGD;Bangladesh;99.40000153;0.088873841;2585.8;66.22;3.485227815;415.7147409;114030001.9;58.891;0;811.2401245;1.1;79.743
1992;BGD;Bangladesh;82.59999847;0.079724993;2625.7;67.06;5.442685551;428.6610176;177430003.9;59.618;0.000231516;829.5590689;1.2;79.39
1993;BGD;Bangladesh;47.70000076;0.077081565;2647.7;66.89;4.711561724;439.2300002;107590000.6;60.388;0.000453101;847.7424829;1.3;79.034
1994;BGD;Bangladesh;160.6000061;0.074580209;2475.9;64.18;3.890126441;446.6548127;152479998.4;61.19;0.000979264;866.0803795;1.3369002;78.672
1995;BGD;Bangladesh;165.3000031;0.072970436;2593.2;67;5.121277897;459.6133678;108990002.2;62.002;0.002170705;884.7655374;1.3369002;78.307
1996;BGD;Bangladesh;135.6999969;0.071032765;2694.2;70.66;4.522919218;470.2746886;54580000.41;62.798;0.003399917;903.8175617;1.3050351;77.936
1997;BGD;Bangladesh;199.8000031;0.069823241;2682.4;71.5;4.489896497;481.122454;86250002.15;63.553;0.021637715;923.1048936;1.3;77.562
1998;BGD;Bangladesh;144.8000031;0.068909407;2865.3;74.23;5.177026873;495.6267541;71220000.21;64.25;0.061133257;942.4814857;1.4927874;77.182
1999;BGD;Bangladesh;143.1000061;0.067385762;3116.4;84.68;4.670156368;508.3852227;71270000.69;64.881;0.119019423;961.7396558;1.32;76.798
2000;BGD;Bangladesh;193.867;0.065409215;3384.4;89.9;5.293294718;524.9458697;63830000.76;65.447;0.218552945;980.7010371;1.28;76.41
2001;BGD;Bangladesh;169.602;0.063825681;3311;87.89;5.077287776;541.2916609;78300001.39;65.956;0.399727257;999.3754475;1.3;75.904
2002;BGD;Bangladesh;171.582;0.062297096;3395;90.42;3.83312394;551.9030477;76769999.74;66.43;0.81145496;1017.731321;1.25;75.244
2003;BGD;Bangladesh;175.496;0.061042378;3479.3;92.95;4.739567399;568.1392256;83320000.65;66.886;1.012674358;1035.504364;1.68;74.571
2004;BGD;Bangladesh;180.432;0.059443843;3439.4;90.98;5.23953291;588.3272589;62419999.6;67.331;2.030536864;1052.365614;1.48;73.886
2005;BGD;Bangladesh;183.493;0.056899135;3681.6;102.9;6.535944941;617.5426664;69530000.19;67.773;6.473166692;1068.107129;1.545;73.191
2006;BGD;Bangladesh;190.831;0.055917788;3761.4;106.11;6.671904981;649.9298851;43480000.63;68.213;13.57566319;1082.593278;1.61;72.483
2007;BGD;Bangladesh;89.026;0.054787462;4020.9;112.01;7.058599357;687.3230856;66080001.6;68.648;24.0921838;1095.954337;1.79;71.763
2008;BGD;Bangladesh;84.219;0.054073283;4102.5;120.23;6.013789759;720.3570039;50590000.05;69.072;30.93465762;1108.582369;1.71;71.032
2009;BGD;Bangladesh;0.013;0.053424779;4176;121.31;5.045124794;748.2960605;74020000.21;69.485;35.19574195;1121.032473;1.59;70.291
2010;BGD;Bangladesh;164.4246386;0.052793341;4288.3;128.5;5.571802274;781.1535936;89210001.5;69.881;46.02655537;1133.713068;1.779541515;69.538
2011;BGD;Bangladesh;159.6927835;0.051435692;4352.8;131.7;6.46438388;822.1883388;82070000.77;70.256;56.51967967;1146.760221;1.96908303;68.775
2012;BGD;Bangladesh;152.319037;0.050792076;4395.8;132.49;6.521435078;865.7498911;67688373.56;70.606;64.35516997;1160.081486;1.98471567;68.007
2013;BGD;Bangladesh;225.1869;0.05026031;4508.6;135.01;6.013610365;907.257418;74855811.65;70.93;76.29745621;1173.578213;1.799674323;67.238
2014;BGD;Bangladesh;207.73842;0.049631062;4540.9;140.96;6.061059359;951.314821;75038237.75;71.231;82.10473758;1187.064354;1.614632976;66.465
2015;BGD;Bangladesh;57.00954718;0.04948435;4560.4;141.72;6.552652796;1002.388853;82190094.35;71.514;84.07708629;1200.401598;1.429591629;65.692
2016;BGD;Bangladesh;53.97916179;0.04914964;4601;145.31;7.113489474;1062.040158;89593209.51;71.785;86.07690632;1213.573327;1.244550282;64.917
2017;BGD;Bangladesh;61.74997781;0.049618667;4411.2;140.870142;7.284184092;1127.271768;66835302.78;72.052;94.5264735;1226.631274;1.244550282;64.142
2018;BGD;Bangladesh;63.81815198;0.04938421;4551.769652;142.9510798;7.863708893;1203.216265;66803775.3;71.63452704;100.2447125;1239.579312;1.369777137;63.368
2019;BGD;Bangladesh;;0.049253403;4515.079089;144.2256399;7.180968966;1094.245772;0;71.84279235;90.64626425;1219.482259;1.280327855;64.56422596
1960;BHS;Bahamas, The;;0.060805587;666.7;35;10.66709743;17734.56733;0;64.74;0;11.5005994;3.3;40.288
1961;BHS;Bahamas, The;;0.060805587;666.7;35;10.66709743;18673.83474;0;64.885;0;11.5005994;3.3;39.546
1962;BHS;Bahamas, The;;0.057807764;833.3;36.45;10.45197189;19608.7393;0;65.011;0;12.097003;3.3;38.807
1963;BHS;Bahamas, The;;0.054971376;833.3;38.54;10.5240552;20608.99977;0;65.121;0;12.72117882;3.3;38.074
1964;BHS;Bahamas, The;;0.052352497;892.9;40.28;10.5015672;21688.33167;0;65.219;0;13.35754246;3.3;37.358
1965;BHS;Bahamas, The;;0.049978937;909.1;42.6;10.42559649;22863.64769;0;65.31;0;13.99190809;3.3;36.657
1966;BHS;Bahamas, The;;0.047820087;914.9;46.17;9.071928711;23860.62729;0;65.402;0;14.62357642;3.3;35.96
1967;BHS;Bahamas, The;;0.045865548;937.5;48.44;9.598113867;25081.9423;0;65.499;0;15.24675325;3.3;35.27
1968;BHS;Bahamas, The;;0.044122838;940;48.95;8.421763564;26161.00834;9999.999776;65.607;0;15.84895105;3.3;34.584
1969;BHS;Bahamas, The;;0.04261329;980;46.36;8.981662578;27535.28274;19999.99955;65.73;0;16.41038961;3.3;33.907
1970;BHS;Bahamas, The;;0.041327925;980.8;48.33;-5.649649519;25195.99951;59999.99866;65.87;0;16.92077922;3.3;33.236
